p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	species
9.66435447015896e-33	1.07457817334202	0.344	0.169	2.7117212207819e-28	g.TRINITY-GG-238-c4745-g1-i2	Gast
1.27554833251097e-19	1.0714576678294	0.218	0.11	3.57906106619254e-15	g.TRINITY-GG-176-c2410-g2-i1	Gast
1.09857036954612e-32	1.06853587384088	0.443	0.253	3.08247859990945e-28	g.TRINITY-GG-227-c356-g1-i2	Gast
1.32487902311235e-31	1.06788916934242	0.302	0.14	3.71747805095096e-27	g.TRINITY-GG-238-c83-g1-i3	Gast
5.10532374800967e-30	1.06519209237524	0.38	0.204	1.43250279045403e-25	g.TRINITY-GG-71-c24-g1-i10	Gast
2.01497351091929e-10	1.05482829027874	0.108	0.052	5.65381417428845e-06	g.TRINITY-GG-225-c1984-g1-i3	Gast
9.41234200862964e-42	1.04676030657662	0.387	0.179	2.64100904420139e-37	g.TRINITY-GG-127-c240-g1-i1	Gast
8.9289704603759e-12	1.04673189599694	0.16	0.086	2.50537982147687e-07	g.TRINITY-GG-94-c169-g1-i10	Gast
6.27841938168741e-21	1.04582225819783	0.117	0.041	1.76166169430767e-16	g.TRINITY-GG-71-c446-g1-i10	Gast
8.46962389369853e-18	1.04257116156599	0.347	0.216	2.37649176833287e-13	g.TRINITY-GG-150-c73-g1-i5	Gast
8.35076658497642e-12	1.03451350348255	0.123	0.059	2.34314159607853e-07	g.TRINITY-GG-95-c4-g1-i1	Gast
8.75964062748059e-13	1.03405722503004	0.141	0.07	2.45786756366478e-08	g.TRINITY-GG-238-c192-g2-i7	Gast
7.12418381145176e-10	1.03335418218386	0.152	0.086	1.99897473565525e-05	g.TRINITY-GG-133-c27-g1-i3	Gast
7.46730992585286e-33	1.03210652442148	0.499	0.305	2.09525249209505e-28	g.TRINITY-GG-176-c854-g1-i21	Gast
2.73667837626135e-09	1.02908797369531	0.102	0.051	7.67884585595173e-05	g.TRINITY-GG-176-c686-g6-i1	Gast
1.77783474385667e-12	1.0278474251804	0.105	0.046	4.98842650778742e-08	g.TRINITY-GG-127-c312-g1-i2	Gast
4.39398318019823e-17	1.02782949480867	0.131	0.055	1.23290774053182e-12	g.TRINITY-GG-6-c783-g1-i1	Gast
8.95961838924734e-21	1.02782273607117	0.17	0.073	2.51397932383891e-16	g.TRINITY-GG-6-c366-g2-i5	Gast
6.92195547047329e-14	1.02526034732281	0.105	0.044	1.9422314854601e-09	g.TRINITY-GG-150-c135-g3-i1	Gast
4.72449626752362e-28	1.02221785111012	0.358	0.189	1.32564640770445e-23	g.TRINITY-GG-71-c316-g1-i14	Gast
1.44372855575706e-19	1.02195740157289	0.195	0.091	4.05095795459874e-15	g.TRINITY-GG-173-c175-g2-i1	Gast
1.69585168983344e-10	1.01987240655602	0.109	0.053	4.75839025650365e-06	g.TRINITY-GG-227-c632-g1-i3	Gast
5.00108480564275e-28	1.00978874213202	0.425	0.254	1.4032543856153e-23	g.TRINITY-GG-176-c43-g1-i1	Gast
