p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	species
6.40577783558748e-270	3.74956310052401	0.226	0.014	3.18693853098313e-265	Spis-LOC111341683	Spis
3.22561723728019e-162	3.70862391955299	0.173	0.014	1.60477683171927e-157	Spis-XP-022794878-1	Spis
0	3.69960457903853	0.531	0.076	0	Spis-XP-022783501-1	Spis
2.29950802156707e-237	3.66347998203713	0.293	0.03	1.14402823580983e-232	Spis-XP-022779880-1	Spis
6.50228538663959e-84	3.65840972532393	0.219	0.046	3.23495200270706e-79	Spis-XP-022786110-1	Spis
4.46230588667009e-76	3.63687946267591	0.1	0.011	2.22004180167724e-71	Spis-XP-022781621-1	Spis
1.60248766603397e-268	3.59461654867579	0.25	0.017	7.97253638728559e-264	Spis-Spis7736-1	Spis
1.81071086996005e-262	3.58561767994996	0.281	0.024	9.00846764913823e-258	Spis-XP-022807665-1	Spis
1.43021189595644e-131	3.54004271730788	0.108	0.006	7.11544720357291e-127	Spis-orphan-peak-15861	Spis
9.60505742208433e-188	3.50737155078635	0.175	0.012	4.77861211806118e-183	Spis-XP-022786888-1	Spis
4.99872023211212e-126	3.49009091838557	0.13	0.01	2.4869133026781e-121	Spis-XP-022789892-1	Spis
1.63222649449521e-202	3.44424450466508	0.273	0.031	8.1204900327631e-198	Spis-XP-022786020-1	Spis
0	3.390470693036	0.418	0.042	0	Spis-XP-022780954-1	Spis
2.64647217835861e-117	3.36907267155769	0.122	0.01	1.31664637345519e-112	Spis-XP-022779695-1	Spis
4.40832864804743e-278	3.24223268521068	0.431	0.058	2.19318758569008e-273	Spis-XP-022804160-1	Spis
3.43396567262024e-76	3.21413155407835	0.1	0.011	1.70843226178529e-71	Spis-XP-022808967-1	Spis
4.04650897281639e-82	3.18667042583613	0.111	0.012	2.01317867906588e-77	Spis-XP-022790986-1	Spis
0	3.17250927512409	0.45	0.047	0	Spis-XP-022792926-1	Spis
9.24145993313023e-177	3.16195686700936	0.28	0.037	4.59771873133162e-172	Spis-XP-022806014-1	Spis
9.27979365915626e-107	3.15836161953798	0.122	0.011	4.61679014336683e-102	Spis-XP-022790447-1	Spis
1.3221459714558e-90	3.15832853140578	0.122	0.013	6.57780842258973e-86	Spis-XP-022807848-1	Spis
1.94024942053637e-171	3.10020189853379	0.221	0.023	9.6529348921105e-167	Spis-XP-022788596-1	Spis
5.96907720249227e-126	3.09136112046641	0.151	0.014	2.96967559901193e-121	Spis-XP-022789413-1	Spis
2.74775913662876e-75	3.0773688521521	0.129	0.018	1.36703764806418e-70	Spis-orphan-peak-1049	Spis
9.2049743909156e-78	3.04116219945459	0.146	0.022	4.57956680922442e-73	Spis-XP-022806843-1	Spis
2.55781335685151e-126	3.00476460182975	0.199	0.026	1.2725377231672e-121	Spis-XP-022802380-1	Spis
6.05063511236238e-105	2.97273264190748	0.161	0.02	3.01025147475141e-100	Spis-XP-022797642-1	Spis
5.24284144269776e-143	2.95988687315457	0.215	0.026	2.60836604615656e-138	Spis-XP-022801462-1	Spis
9.5419111492631e-72	2.95167718400235	0.107	0.013	4.74719621586989e-67	Spis-XP-022789417-1	Spis
5.84499429746302e-74	2.92607687975199	0.129	0.018	2.90794311293082e-69	Spis-XP-022788766-1	Spis
2.29407135958089e-107	2.92493245266485	0.245	0.046	1.14132344210509e-102	Spis-XP-022797836-1	Spis
1.48886601762914e-58	2.91567098994624	0.105	0.015	7.40725732430672e-54	Spis-XP-022793569-1	Spis
1.53395802042394e-172	2.84640753955295	0.261	0.032	7.63159454741116e-168	Spis-LOC111323751	Spis
1.51759286579212e-131	2.84459092556491	0.251	0.04	7.55017626660236e-127	Spis-XP-022789440-1	Spis
1.82004354399229e-124	2.84188160109216	0.288	0.055	9.05489863571603e-120	Spis-XP-022779058-1	Spis
1.35997317296416e-163	2.8171809595023	0.283	0.04	6.76600253281401e-159	Spis-orphan-peak-4753	Spis
3.78816113045217e-45	2.81293198416846	0.134	0.03	1.88464804401126e-40	Spis-XP-022795595-1	Spis
2.97468360220246e-110	2.80735202019806	0.191	0.027	1.47993483893174e-105	Spis-XP-022803369-1	Spis
9.43916658784262e-57	2.7970856581185	0.121	0.021	4.69607976911758e-52	Spis-XP-022783485-1	Spis
